genus,crop_type
Amaranthus,non crop
Bassia,non crop
Brassica,non crop
Descurainia,non crop
Erigeron,non crop
Chenopodium,non crop
Hyoscyamus,non crop
Chorispora,non crop
Kali,non crop
Lycium,non crop
Salsola,non crop
Sisymbrium,non crop
Cannabis,crop
Capsicum,crop
Cucumis,crop
Coriandrum,crop
Cucurbita,crop
Daucus,crop
Medicago,crop
Pisum,crop
Raphanus,crop
Vigna,crop
Spinacia,crop
Citrus,tree
Acer,tree
Juglans,tree
Malus,tree
Pinus,tree
Pistacia,tree
Prunus,tree
Pyrus,tree
Tilia,tree
Quercus,tree
Salix,tree
Ulmus,tree
