BLH_ID,type,family,common_name,genus,organism,primer,BC,Barcode,OTU ,Sequences,blh_mix_count,time_period,Year,Date,region,region_original,site_name,host_plant,BCTV,CPt,S_citri,
P1,Nightshade,Solanaceae,Black Henbane,Hyoscyamus,Hyoscyamus niger,ITS,bc1133,bc1140,NA,31,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,1,0,
P1,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,bc1133,bc1140,NA,7,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,1,0,
P1,Weed,Apocynaceae,Khimp,Leptadenia,Leptadenia pyrotechnica,ITS,bc1133,bc1140,NA,3,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,1,0,
P1,Nightshade,Solanaceae,Matrimony vine,Lycium,Lycium barbarum,ITS,bc1133,bc1140,NA,12,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,1,0,
P1,Nightshade,Solanaceae,Cape gooseberry,Physalis,Physalis peruviana,ITS,bc1133,bc1140,NA,10,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,1,0,
P2,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,bc1134,bc1140,NA,11,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,0,0,
P2,Weed,Amaranthaceae,Epazote,Chenopodium,Chenopodium acuminatum,trnF,bc1112,bc1142,NA,3,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,0,0,
P2,Mustard,Brassicaceae,Blue mustard,Chorispora,Chorispora tenella,ITS,bc1134,bc1140,NA,2,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,0,0,
P2,Crop,Cucurbitaceae,Pumpkin,Cucurbita,Cucurbita pepo,ITS,bc1134,bc1140,NA,3,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,0,0,
P2,Nightshade,Solanaceae,Black Henbane,Hyoscyamus,Hyoscyamus niger,ITS,bc1134,bc1140,NA,3,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,0,0,
P2,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,bc1134,bc1140,NA,4,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,0,0,
P2,Shrub,Lauraceae,Spicebush,Lindera,Lindera fragrans,trnF,bc1112,bc1142,NA,7,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,0,0,
P2,Shrub,Rosaceae,Photinia,Photinia,Photinia serratifolia,ITS,bc1134,bc1140,NA,2,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,0,0,
P2,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,bc1112,bc1142,NA,5,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,0,0,
P2,Nightshade,Solanaceae,Bittersweet nightshade,Solanum,Solanum dulcamara,trnF,bc1112,bc1142,NA,2,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,0,0,
P2,Weed,Fabaceae,Vetch,Vicia,Vicia villosa,ITS,bc1134,bc1140,NA,16,1, June,2019,43619,Mattawa,Mattawa,RDR,Russian thistle,0,0,0,
P3,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,bc1123,bc1140,NA,3,1, June,2019,43619,Mattawa,Mattawa,RDJ,Russian thistle,0,0,0,
P3,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,bc1123,bc1140,NA,124,1, June,2019,43619,Mattawa,Mattawa,RDJ,Russian thistle,0,0,0,
P3,Mustard,Brassicaceae,Flixweed,Descurainia,Descurainia sophia,ITS,bc1123,bc1140,NA,765,1, June,2019,43619,Mattawa,Mattawa,RDJ,Russian thistle,0,0,0,
