BLH_ID,type,family,common_name,genus,organism,primer,short,BC,Code,Barcode,OTU ,Sequences,blh_mix_count,time_period,Year,Date,region,region_original,site_name,Terpene,host_plant,extraction_date,nucleic_acid,purity,quality,BCTV,CPt,S_citri
P1,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,NA,bc1133,NA,bc1140,NA,7,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,1,NA
P1,Weed,Apocynaceae,Khimp,Leptadenia,Leptadenia pyrotechnica,ITS,NA,bc1133,NA,bc1140,NA,3,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,1,NA
P1,Nightshade,Solanaceae,Black Henbane,Hyoscyamus,Hyoscyamus niger,ITS,NA,bc1133,NA,bc1140,NA,31,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,1,NA
P1,Nightshade,Solanaceae,Matrimony vine,Lycium,Lycium barbarum,ITS,NA,bc1133,NA,bc1140,NA,12,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,1,NA
P1,Nightshade,Solanaceae,Cape gooseberry,Physalis,Physalis peruviana,ITS,NA,bc1133,NA,bc1140,NA,10,1, June,2019,43619,Mattawa,Mattawa,RDR,NA,Russian thistle,NA,NA,NA,NA,0,1,NA
P10,Pigweed,Amaranthaceae,Smooth pigweed,Amaranthus,Amaranthus hybridus,ITS,NA,bc1155,NA,bc1158,NA,3,1, June,2019,43628,Mattawa,Mattawa,RDJ,NA,Kochia,NA,NA,NA,NA,0,0,NA
P10,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,NA,bc1155,NA,bc1158,NA,10,1, June,2019,43628,Mattawa,Mattawa,RDJ,NA,Kochia,NA,NA,NA,NA,0,0,NA
P10,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,NA,bc1108,NA,bc1176,NA,3,1, June,2019,43628,Mattawa,Mattawa,RDJ,NA,Kochia,NA,NA,NA,NA,0,0,NA
P10,Weed,Asteraceae,Fleabane,Erigeron,Erigeron strigosus,ITS,NA,bc1155,NA,bc1158,NA,88,1, June,2019,43628,Mattawa,Mattawa,RDJ,NA,Kochia,NA,NA,NA,NA,0,0,NA
P10,Weed,Asteraceae,Horseweed,Erigeron,Erigeron canadensis,trnF,NA,bc1108,NA,bc1176,NA,22,1, June,2019,43628,Mattawa,Mattawa,RDJ,NA,Kochia,NA,NA,NA,NA,0,0,NA
P10,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,NA,bc1155,NA,bc1158,NA,2,1, June,2019,43628,Mattawa,Mattawa,RDJ,NA,Kochia,NA,NA,NA,NA,0,0,NA
P10,Mustard,Brassicaceae,Tumble mustard,Sisymbrium,Sisymbrium altissimum,trnF,NA,bc1108,NA,bc1176,NA,4,1, June,2019,43628,Mattawa,Mattawa,RDJ,NA,Kochia,NA,NA,NA,NA,0,0,NA
P10,Tree,Fagaceae,Red oak,Quercus,Quercus rubra,ITS,NA,bc1155,NA,bc1158,NA,18,1, June,2019,43628,Mattawa,Mattawa,RDJ,NA,Kochia,NA,NA,NA,NA,0,0,NA
P10,Tree,Malvaceae,Linden,Tilia,Tilia x,ITS,NA,bc1155,NA,bc1158,NA,24,1, June,2019,43628,Mattawa,Mattawa,RDJ,NA,Kochia,NA,NA,NA,NA,0,0,NA
P10,Nightshade,Solanaceae,Black Henbane,Hyoscyamus,Hyoscyamus niger,ITS,NA,bc1155,NA,bc1158,NA,9,1, June,2019,43628,Mattawa,Mattawa,RDJ,NA,Kochia,NA,NA,NA,NA,0,0,NA
P10,Nightshade,Solanaceae,Tansyleaf nightshade,Solanum,Solanum pinnatisectum,ITS,NA,bc1155,NA,bc1158,NA,13,1, June,2019,43628,Mattawa,Mattawa,RDJ,NA,Kochia,NA,NA,NA,NA,0,0,NA
P10,Potato,Solanaceae,Potato,Solanum,Solanum tuberosum,trnF,NA,bc1108,NA,bc1176,NA,23,1, June,2019,43628,Mattawa,Mattawa,RDJ,NA,Kochia,NA,NA,NA,NA,0,0,NA
P11,Pigweed,Amaranthaceae,Smooth pigweed,Amaranthus,Amaranthus hybridus,ITS,NA,bc1140,NA,bc1152,NA,97,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P11,Pigweed,Amaranthaceae,Purple pigweed,Amaranthus,Amaranthus blitum,trnF,NA,bc1109,NA,bc1142,NA,6,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P11,Pigweed,Amaranthaceae,Green pigweed,Amaranthus,Amaranthus viridis,trnF,NA,bc1109,NA,bc1142,NA,8,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P11,Weed,Asteraceae,Safflower,Carthamus,Carthamus tinctorius,ITS,NA,bc1140,NA,bc1152,NA,18,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P11,Weed,Asteraceae,Spotted knapweed,Centaurea,Centaurea maculosa,trnF,NA,bc1109,NA,bc1142,NA,4,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P11,Crop,Brassicaceae,Radish,Raphanus,Raphanus sativus,ITS,NA,bc1140,NA,bc1152,NA,3,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P11,Crop,Cucurbitaceae,Cucumber,Cucumis,Cucumis sativus,ITS,NA,bc1140,NA,bc1152,NA,7,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P11,Nightshade,Solanaceae,Black Henbane,Hyoscyamus,Hyoscyamus niger,ITS,NA,bc1140,NA,bc1152,NA,7,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,NA,bc1140,NA,bc1153,NA,2,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Lambsquarter,Amaranthaceae,White lambsquarter,Chenopodium,Chenopodium album,ITS,NA,bc1140,NA,bc1153,NA,15,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Pigweed,Amaranthaceae,Smooth pigweed,Amaranthus,Amaranthus hybridus,ITS,NA,bc1140,NA,bc1153,NA,399,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Pigweed,Amaranthaceae,Purple pigweed,Amaranthus,Amaranthus blitum,trnF,NA,bc1110,NA,bc1142,NA,23,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Russian thistle,Amaranthaceae,Prickly Russian thistle,Kali,Kali turgidum,ITS,NA,bc1140,NA,bc1153,NA,3,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Russian thistle,Amaranthaceae,Russian thistle,Salsola,Salsola komarovii,trnF,NA,bc1110,NA,bc1142,NA,4,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Crop,Amaryllidaceae,Onion,Allium,Allium cepa,ITS,NA,bc1140,NA,bc1153,NA,3,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Weed,Asteraceae,Prickly Lettuce,Lactuca,Lactuca serriola,ITS,NA,bc1140,NA,bc1153,NA,3,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Weed,Boraginaceae,Fiddleneck,Amsinckia,Amsinckia intermedia,trnF,NA,bc1110,NA,bc1142,NA,7,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,NA,bc1140,NA,bc1153,NA,5,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Cannabis,Cannabaceae,Cannabis,Cannabis,Cannabis sativa,ITS,NA,bc1140,NA,bc1153,NA,10,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P12,Nightshade,Solanaceae,Tansyleaf nightshade,Solanum,Solanum pinnatisectum,ITS,NA,bc1140,NA,bc1153,NA,8,1, June,2019,43630,Pasco,Pasco,505,NA,Pigweed,NA,NA,NA,NA,0,0,NA
P13,Kochia,Amaranthaceae,Kochia ,Bassia,Bassia scoparia,ITS,NA,bc1155,NA,bc1157,NA,14,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P13,Mustard,Brassicaceae,Ethiopian mustard,Brassica,Brassica carinata,ITS,NA,bc1155,NA,bc1157,NA,27,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
P13,Crop,Fabaceae,Alfalfa,Medicago,Medicago sativa,ITS,NA,bc1155,NA,bc1157 ,NA,23,1, June,2019,43630,Pasco,Pasco,WSU,NA,Kochia,NA,NA,NA,NA,0,0,NA
